ID,method,reason
1724_a,LLM,name>=0.92
1724_a,LLM,name>=0.92
1724_a,LLM,name>=0.92
1724_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,LLM,name>=0.92
1759_a,NLP,geo<=5.0km
1759_a,NLP,geo<=5.0km
1759_a,NLP,geo<=5.0km
1767_a,LLM,name>=0.92
1767_a,LLM,name>=0.92
1767_a,LLM,name>=0.92
1767_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,LLM,name>=0.92
1788_a,NLP,geo<=5.0km
1788_a,NLP,geo<=5.0km
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,LLM,name>=0.92
1804_c,NLP,geo<=5.0km
1804_c,NLP,geo<=5.0km
1804_c,NLP,geo<=5.0km
1804_c,NLP,geo<=5.0km
1804_c,NLP,geo<=5.0km
1804_c,NLP,geo<=5.0km
1805_a,LLM,name>=0.92
1805_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,LLM,name>=0.92
1813_a,NLP,geo<=5.0km
1813_a,NLP,geo<=5.0km
1813_a,NLP,geo<=5.0km
1813_a,NLP,geo<=5.0km
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,LLM,name>=0.92
1835_a,NLP,geo<=5.0km
1835_a,NLP,geo<=5.0km
1835_a,NLP,geo<=5.0km
1835_a,NLP,geo<=5.0km
1835_a,NLP,geo<=5.0km
1835_a,NLP,geo<=5.0km
1852_e,LLM,name>=0.92
1852_e,LLM,name>=0.92
1852_e,LLM,name>=0.92
1852_e,LLM,name>=0.92
1852_e,LLM,name>=0.92
1852_e,NLP,geo<=5.0km
1852_e,NLP,geo<=5.0km
1852_e,NLP,geo<=5.0km
1857_b,LLM,name>=0.92
1857_b,LLM,name>=0.92
1857_b,LLM,name>=0.92
1857_b,LLM,name>=0.92
1857_b,LLM,name>=0.92
1857_b,NLP,geo<=5.0km
1857_b,NLP,geo<=5.0km
1857_b,NLP,geo<=5.0km
1904_a,LLM,name>=0.92
1904_a,LLM,name>=0.92
1904_a,LLM,name>=0.92
1904_a,LLM,name>=0.92
1904_a,LLM,name>=0.92
1904_a,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,LLM,name>=0.92
1983_b,NLP,geo<=5.0km
1983_b,NLP,geo<=5.0km
