ID,method,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,lcs_ratio,edit_distance,edit_distance_norm,sequence_accuracy,positional_accuracy,kendall_tau,geo_mean_km,geo_median_km,geo_within_1km,geo_within_5km,geo_within_10km,pred_len,gt_len
1724_a,LLM,0.5,0.5,0.5,0.0,0.0,0.0,0.5,6,0.75,0.0,0.125,1.0,,,,,,8,8
1724_a,NLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.0,0.0,,,,,,,5,8
1759_a,LLM,0.4444444444444444,0.5714285714285714,0.5,0.058823529411764705,0.07692307692307693,0.06666666666666667,0.5714285714285714,10,0.7142857142857143,0.0,0.35714285714285715,1.0,,,,,,18,14
1759_a,NLP,0.75,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.125,0.14285714285714285,12,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4,14
1767_a,LLM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,1.0,1.0,1.0,,,,,,4,4
1788_a,LLM,0.75,0.4444444444444444,0.5581395348837209,0.4666666666666667,0.2692307692307692,0.3414634146341463,0.4444444444444444,15,0.5555555555555556,0.0,0.375,1.0,,,,,,16,27
1788_a,NLP,1.0,0.07407407407407407,0.13793103448275862,0.0,0.0,0.0,0.07407407407407407,25,0.9259259259259259,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2,27
1804_c,LLM,0.8,0.34782608695652173,0.48484848484848486,0.2222222222222222,0.09090909090909091,0.1290322580645161,0.34782608695652173,15,0.6521739130434783,0.0,0.3,1.0,,,,,,10,23
1804_c,NLP,0.6,0.2608695652173913,0.36363636363636365,0.1111111111111111,0.045454545454545456,0.06451612903225805,0.17391304347826086,19,0.8260869565217391,0.0,0.0,0.8666666666666667,0.23579237294930985,0.0,0.8333333333333334,1.0,1.0,10,23
1805_a,LLM,0.6666666666666666,0.4,0.5,0.0,0.0,0.0,0.4,3,0.6,0.0,0.3333333333333333,1.0,,,,,,3,5
1813_a,LLM,0.9166666666666666,0.55,0.6874999999999999,0.45454545454545453,0.2631578947368421,0.3333333333333333,0.5,10,0.5,0.0,0.3333333333333333,1.0,,,,,,12,20
1813_a,NLP,1.0,0.2,0.33333333333333337,0.0,0.0,0.0,0.2,16,0.8,0.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,4,20
1835_a,LLM,0.7777777777777778,0.3684210526315789,0.5,0.125,0.05555555555555555,0.07692307692307691,0.3684210526315789,12,0.631578947368421,0.0,0.3333333333333333,1.0,,,,,,9,19
1835_a,NLP,0.6666666666666666,0.3157894736842105,0.42857142857142855,0.0,0.0,0.0,0.15789473684210525,16,0.8421052631578947,0.0,0.1111111111111111,0.8666666666666667,1.221908390727869,0.733564324437753,0.5,1.0,1.0,9,19
1852_e,LLM,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.6,0.2727272727272727,0.37499999999999994,0.4166666666666667,7,0.5833333333333334,0.0,0.6666666666666666,1.0,,,,,,6,12
1852_e,NLP,0.75,0.25,0.375,0.0,0.0,0.0,0.25,9,0.75,0.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,4,12
1857_b,LLM,1.0,0.5,0.6666666666666666,0.5,0.2222222222222222,0.30769230769230765,0.5,5,0.5,0.0,0.4,1.0,,,,,,5,10
1857_b,NLP,0.3333333333333333,0.3,0.3157894736842105,0.0,0.0,0.0,0.1,9,0.9,0.0,0.0,0.3333333333333333,1.7060996302356892,0.9933837089866202,0.6666666666666666,1.0,1.0,9,10
1904_a,LLM,0.8571428571428571,0.5,0.631578947368421,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.5,6,0.5,0.0,0.0,1.0,,,,,,7,12
1904_a,NLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.0,0.0,0.0,,,,,,,2,12
1983_b,LLM,0.625,0.25,0.35714285714285715,0.0,0.0,0.0,0.25,31,0.775,0.0,0.0,0.8666666666666667,,,,,,16,40
1983_b,NLP,1.0,0.05,0.09523809523809523,0.0,0.0,0.0,0.025,39,0.975,0.0,0.0,1.0,2.184231390728291,2.184231390728291,0.5,1.0,1.0,2,40
