ID,method,precision,recall,f1,tp,fp,fn
1724_a,LLM,0.5,0.5,0.5,4,4,4
1724_a,NLP,0.0,0.0,0.0,0,5,8
1759_a,LLM,0.4444444444444444,0.5714285714285714,0.5,8,10,6
1759_a,NLP,0.75,0.21428571428571427,0.3333333333333333,3,1,11
1767_a,LLM,1.0,1.0,1.0,4,0,0
1788_a,LLM,0.75,0.4444444444444444,0.5581395348837209,12,4,15
1788_a,NLP,1.0,0.07407407407407407,0.13793103448275862,2,0,25
1804_c,LLM,0.8,0.34782608695652173,0.48484848484848486,8,2,15
1804_c,NLP,0.6,0.2608695652173913,0.36363636363636365,6,4,17
1805_a,LLM,0.6666666666666666,0.4,0.5,2,1,3
1813_a,LLM,0.9166666666666666,0.55,0.6874999999999999,11,1,9
1813_a,NLP,1.0,0.2,0.33333333333333337,4,0,16
1835_a,LLM,0.7777777777777778,0.3684210526315789,0.5,7,2,12
1835_a,NLP,0.6666666666666666,0.3157894736842105,0.42857142857142855,6,3,13
1852_e,LLM,0.8333333333333334,0.4166666666666667,0.5555555555555556,5,1,7
1852_e,NLP,0.75,0.25,0.375,3,1,9
1857_b,LLM,1.0,0.5,0.6666666666666666,5,0,5
1857_b,NLP,0.3333333333333333,0.3,0.3157894736842105,3,6,7
1904_a,LLM,0.8571428571428571,0.5,0.631578947368421,6,1,6
1904_a,NLP,0.0,0.0,0.0,0,2,12
1983_b,LLM,0.625,0.25,0.35714285714285715,10,6,30
1983_b,NLP,1.0,0.05,0.09523809523809523,2,0,38
