ID,method,precision,recall,f1,kendall_tau
1724_a,LLM,0.0,0.0,0.0,1.0
1724_a,NLP,0.0,0.0,0.0,
1759_a,LLM,0.058823529411764705,0.07692307692307693,0.06666666666666667,1.0
1759_a,NLP,0.3333333333333333,0.07692307692307693,0.125,1.0
1767_a,LLM,1.0,1.0,1.0,1.0
1788_a,LLM,0.4666666666666667,0.2692307692307692,0.3414634146341463,1.0
1788_a,NLP,0.0,0.0,0.0,1.0
1804_c,LLM,0.2222222222222222,0.09090909090909091,0.1290322580645161,1.0
1804_c,NLP,0.1111111111111111,0.045454545454545456,0.06451612903225805,0.8666666666666667
1805_a,LLM,0.0,0.0,0.0,1.0
1813_a,LLM,0.45454545454545453,0.2631578947368421,0.3333333333333333,1.0
1813_a,NLP,0.0,0.0,0.0,1.0
1835_a,LLM,0.125,0.05555555555555555,0.07692307692307691,1.0
1835_a,NLP,0.0,0.0,0.0,0.8666666666666667
1852_e,LLM,0.6,0.2727272727272727,0.37499999999999994,1.0
1852_e,NLP,0.0,0.0,0.0,1.0
1857_b,LLM,0.5,0.2222222222222222,0.30769230769230765,1.0
1857_b,NLP,0.0,0.0,0.0,0.3333333333333333
1904_a,LLM,0.8333333333333334,0.45454545454545453,0.5882352941176471,1.0
1904_a,NLP,0.0,0.0,0.0,
1983_b,LLM,0.0,0.0,0.0,0.8666666666666667
1983_b,NLP,0.0,0.0,0.0,1.0
