ID,method,edit_distance,edit_distance_norm,sequence_accuracy,positional_accuracy,geo_count,geo_mean_km,geo_median_km,geo_within_1km,geo_within_5km,geo_within_10km
1724_a,LLM,6,0.75,0.0,0.125,0,,,,,
1724_a,NLP,8,1.0,0.0,0.0,0,,,,,
1759_a,LLM,10,0.7142857142857143,0.0,0.35714285714285715,0,,,,,
1759_a,NLP,12,0.8571428571428571,0.0,0.0,3,0.0,0.0,1.0,1.0,1.0
1767_a,LLM,0,0.0,1.0,1.0,0,,,,,
1788_a,LLM,15,0.5555555555555556,0.0,0.375,0,,,,,
1788_a,NLP,25,0.9259259259259259,0.0,0.0,2,0.0,0.0,1.0,1.0,1.0
1804_c,LLM,15,0.6521739130434783,0.0,0.3,0,,,,,
1804_c,NLP,19,0.8260869565217391,0.0,0.0,6,0.23579237294930985,0.0,0.8333333333333334,1.0,1.0
1805_a,LLM,3,0.6,0.0,0.3333333333333333,0,,,,,
1813_a,LLM,10,0.5,0.0,0.3333333333333333,0,,,,,
1813_a,NLP,16,0.8,0.0,0.25,4,0.0,0.0,1.0,1.0,1.0
1835_a,LLM,12,0.631578947368421,0.0,0.3333333333333333,0,,,,,
1835_a,NLP,16,0.8421052631578947,0.0,0.1111111111111111,6,1.221908390727869,0.733564324437753,0.5,1.0,1.0
1852_e,LLM,7,0.5833333333333334,0.0,0.6666666666666666,0,,,,,
1852_e,NLP,9,0.75,0.0,0.25,3,0.0,0.0,1.0,1.0,1.0
1857_b,LLM,5,0.5,0.0,0.4,0,,,,,
1857_b,NLP,9,0.9,0.0,0.0,3,1.7060996302356892,0.9933837089866202,0.6666666666666666,1.0,1.0
1904_a,LLM,6,0.5,0.0,0.0,0,,,,,
1904_a,NLP,12,1.0,0.0,0.0,0,,,,,
1983_b,LLM,31,0.775,0.0,0.0,0,,,,,
1983_b,NLP,39,0.975,0.0,0.0,2,2.184231390728291,2.184231390728291,0.5,1.0,1.0
